#,Satellite,Name (nickname),"Launch #, date (UTC)",Launch site,Launch vehicle,Flight name,PRN,Orb. slot,Clock type,FOC block,Status,Remarks
–,GIOVE-A,GSAT0001,28 December 2005 05:19,"Baikonur, Site 31/6",Soyuz-FG/ Fregat,P15000-015,Test,Test,RAFS,–,Retired 30 June 2012,Technology demonstration. Developed with the main goal of claiming the frequencies allocated to Galileo by the International Telecommunication Union (ITU).
–,GIOVE-B,GSAT0002,26 April 2008 22:16,"Baikonur, Site 31/6",Soyuz-FG/ Fregat,P15000-016,Test,Test,PHM,–,Retired 23 July 2012,"Similar goal to GIOVE-A, but with higher fidelity signals."
1,Galileo-IOV FM1,GSAT0101  (Thijs),L1 21 October 2011 10:30,"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-01,E11,B05,RAFS,–,Operational,IOV (In Orbit Validation) vehicles. Initially used for signal validation.[10] Healthy spacecraft are still part of the operative fleet.
2,Galileo-IOV FM2,GSAT0102  (Natalia),L1 21 October 2011 10:30,"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-01,E12,B06,RAFS,–,Operational,IOV (In Orbit Validation) vehicles. Initially used for signal validation.[10] Healthy spacecraft are still part of the operative fleet.
3,Galileo-IOV FM3,GSAT0103  (David),L2 12 October 2012 18:15,"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-03,E19,C04,RAFS,–,Operational,IOV (In Orbit Validation) vehicles. Initially used for signal validation.[10] Healthy spacecraft are still part of the operative fleet.
4,Galileo-IOV FM4,GSAT0104  (Sif),L2 12 October 2012 18:15,"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-03,E20,C14,RAFS,–,Retired 18 March 2024,Payload power problem beginning on 27 May 2014 led to permanent loss of E5 and E6 transmissions. Decommissioned as of 2025-04-16 17:47 UTC.[11]
5,Galileo-FOC FM1,GSAT0201  (Doresa),L3 22 August 2014 12:27,"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-09,E18,Ext01,PHM,1,Not usable,"Launched into incorrect orbit, moved to usable orbit.[12] Broadcasting service test since 5 August 2016. Currently not usable since 18 February 2021 until further notice as some brands of commercial receiver have difficulty calculating their orbit.[13][14]"
6,Galileo-FOC FM2,GSAT0202  (Milena),L3 22 August 2014 12:27,"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-09,E14,Ext02,PHM,1,Not usable,"Launched into incorrect orbit, moved to usable orbit.[12] Broadcasting service test since 5 August 2016. Currently not usable since 18 February 2021 until further notice as some brands of commercial receiver have difficulty calculating their orbit.[13][14]"
7,Galileo-FOC FM3,GSAT0203  (Adam),L4 27 March 2015 21:46,"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-11,E26,B08,PHM,1,Operational,
8,Galileo-FOC FM4,GSAT0204  (Anastasia),L4 27 March 2015 21:46,"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-11,E22,B14,RAFS,1,Not usable,Removed from active service on 8 December 2017 until further notice for constellation management purposes.[15]
9,Galileo-FOC FM5,GSAT0205  (Alba),L5 11 September 2015 02:08,"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-12,E24,A08,PHM,1,Operational,
10,Galileo-FOC FM6,GSAT0206  (Oriana),L5 11 September 2015 02:08,"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-12,E30,A05,PHM,1,Operational,
11,Galileo-FOC FM8,GSAT0208  (Andriana),L6 17 December 2015 11:51,"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-13,E08,C07,PHM,1,Operational,
12,Galileo-FOC FM9,GSAT0209  (Liene),L6 17 December 2015 11:51,"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-13,E09,C02,PHM,1,Operational,
13,Galileo-FOC FM10,GSAT0210  (Danielė),L7 24 May 2016 08:48,"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-15[16],E01,A12,RAFS,1,Not usable,Unavailable from 2023-04-30 until further notice.[17]
14,Galileo-FOC FM11,GSAT0211  (Alizée),L7 24 May 2016 08:48,"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-15[16],E02,A06,PHM,1,Operational,
15,Galileo-FOC FM7,GSAT0207  (Antonianna),L8 17 November 2016 13:06,"Guiana, ELA-3",Ariane 5 ES,VA-233[18],E07,C06,PHM,1,Operational,"Launched on new dispenser, deployed four satellites at once.[19]"
16,Galileo-FOC FM12,GSAT0212  (Lisa),L8 17 November 2016 13:06,"Guiana, ELA-3",Ariane 5 ES,VA-233[18],E03,C08,PHM,1,Operational,"Launched on new dispenser, deployed four satellites at once.[19]"
17,Galileo-FOC FM13,GSAT0213  (Kimberley),L8 17 November 2016 13:06,"Guiana, ELA-3",Ariane 5 ES,VA-233[18],E04,C03,PHM,1,Operational,"Launched on new dispenser, deployed four satellites at once.[19]"
18,Galileo-FOC FM14,GSAT0214  (Tijmen),L8 17 November 2016 13:06,"Guiana, ELA-3",Ariane 5 ES,VA-233[18],E05,C01,PHM,1,Operational,"Launched on new dispenser, deployed four satellites at once.[19]"
19,Galileo-FOC FM15,GSAT0215  (Nicole),L9 12 December 2017 18:36,"Guiana, ELA-3",Ariane 5 ES,VA-240[20],E21,A03,PHM,2,Operational,
20,Galileo-FOC FM16,GSAT0216  (Zofia),L9 12 December 2017 18:36,"Guiana, ELA-3",Ariane 5 ES,VA-240[20],E25,A07,PHM,2,Operational,
21,Galileo-FOC FM17,GSAT0217  (Alexandre),L9 12 December 2017 18:36,"Guiana, ELA-3",Ariane 5 ES,VA-240[20],E27,A04,PHM,2,Operational,
22,Galileo-FOC FM18,GSAT0218  (Irina),L9 12 December 2017 18:36,"Guiana, ELA-3",Ariane 5 ES,VA-240[20],E31,A01,PHM,2,Operational,
23,Galileo-FOC FM19,GSAT0219  (Tara),L10 25 July 2018 11:25,"Guiana, ELA-3",Ariane 5 ES,VA-244[21],E36,B04,PHM,2,Operational,
24,Galileo-FOC FM20,GSAT0220  (Samuel),L10 25 July 2018 11:25,"Guiana, ELA-3",Ariane 5 ES,VA-244[21],E13,B01,PHM,2,Operational,
25,Galileo-FOC FM21,GSAT0221  (Anna),L10 25 July 2018 11:25,"Guiana, ELA-3",Ariane 5 ES,VA-244[21],E15,B02,PHM,2,Operational,
26,Galileo-FOC FM22,GSAT0222  (Ellen),L10 25 July 2018 11:25,"Guiana, ELA-3",Ariane 5 ES,VA-244[21],E33,B07,PHM,2,Operational,
27,Galileo-FOC FM23,GSAT0223  (Nikolina),L11 5 December 2021 00:19[22],"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-26[23],E34,B03,PHM,3,Operational,
28,Galileo-FOC FM24,GSAT0224  (Shriya),L11 5 December 2021 00:19[22],"Guiana, ELS",Soyuz ST-B/ Fregat-MT,VS-26[23],E10,B15,PHM,3,Operational,
29,Galileo-FOC FM25,GSAT0225,L12 28 April 2024 00:34[24],"Kennedy, LC-39A",Falcon 9 Block 5[24],F9-327,E29,C05,PHM,3,Operational,
30,Galileo-FOC FM27,GSAT0227,L12 28 April 2024 00:34[24],"Kennedy, LC-39A",Falcon 9 Block 5[24],F9-327,E06,C12,PHM,3,Operational,
31,Galileo-FOC FM26,GSAT0226,L13 17 September 2024 22:50[25],"Cape Canaveral, SLC-40",Falcon 9 Block 5[24],F9-375,E23,A02,PHM,3,Operational,
32,Galileo-FOC FM32,GSAT0232,L13 17 September 2024 22:50[25],"Cape Canaveral, SLC-40",Falcon 9 Block 5[24],F9-375,E16,A17,PHM,3,Operational,
Scheduled launches,Scheduled launches,Scheduled launches,Scheduled launches,Scheduled launches,Scheduled launches,Scheduled launches,Scheduled launches,Scheduled launches,Scheduled launches,Scheduled launches,Scheduled launches,Scheduled launches
33,Galileo-FOC FM33,GSAT0233,L14 Dec 2025[26],"Guiana, ELA-4",Ariane 62,,,,,3,Planned,
34,Galileo-FOC FM34,GSAT0234,L14 Dec 2025[26],"Guiana, ELA-4",Ariane 62,,,,,3,Planned,
35,Galileo-FOC FM29,GSAT0229,L15  2026,"Guiana, ELA-4",Ariane 62,,,,,3,Planned,
36,Galileo-FOC FM30,GSAT0230,L15  2026,"Guiana, ELA-4",Ariane 62,,,,,3,Planned,
37,Galileo-FOC FM28,GSAT0228,L16 2026,"Guiana, ELA-4",Ariane 62,,,,,3,Planned,
38,Galileo-FOC FM31,GSAT0231,L16 2026,"Guiana, ELA-4",Ariane 62,,,,,3,Planned,
39,Galileo-G2G-1,G2SB1A,L17 2027[27],"Guiana, ELA-4",Ariane 64[28],,,,,–,Planned,First satellite purchased for the G2G block.[29]
40,Galileo-G2G-2,G2SB2A,L17 2027[27],"Guiana, ELA-4",Ariane 64[28],,,,,–,Planned,
41,Galileo-G2G-3,G2SB1B,L18 2027[30],"Guiana, ELA-4",Ariane 64,,,,,–,Planned,
42,Galileo-G2G-4,G2SB2B,L18 2027[30],"Guiana, ELA-4",Ariane 64,,,,,–,Planned,
References: European GNSS Service Centre;[31][32] Gunter's Space Page.[33][34],References: European GNSS Service Centre;[31][32] Gunter's Space Page.[33][34],References: European GNSS Service Centre;[31][32] Gunter's Space Page.[33][34],References: European GNSS Service Centre;[31][32] Gunter's Space Page.[33][34],References: European GNSS Service Centre;[31][32] Gunter's Space Page.[33][34],References: European GNSS Service Centre;[31][32] Gunter's Space Page.[33][34],References: European GNSS Service Centre;[31][32] Gunter's Space Page.[33][34],References: European GNSS Service Centre;[31][32] Gunter's Space Page.[33][34],References: European GNSS Service Centre;[31][32] Gunter's Space Page.[33][34],References: European GNSS Service Centre;[31][32] Gunter's Space Page.[33][34],References: European GNSS Service Centre;[31][32] Gunter's Space Page.[33][34],References: European GNSS Service Centre;[31][32] Gunter's Space Page.[33][34],References: European GNSS Service Centre;[31][32] Gunter's Space Page.[33][34]
